지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
295,남해,2024-01-01 00:00,3.0,,,9.0,1.3,,270.0,,79.0,,6.0,-0.2,1019.9,,1025.7,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
295,남해,2024-01-01 01:00,2.9,,,,1.4,,250.0,,78.0,,5.9,-0.5,1020.4,,1026.2,,,9.0,,9.0,,,0.0,0.0,,,-0.1,,,,,
295,남해,2024-01-01 02:00,2.9,,,,1.6,,250.0,,80.0,,6.0,-0.2,1020.8,,1026.6,,,9.0,,9.0,,,0.0,0.0,,,-0.5,,,,,
295,남해,2024-01-01 03:00,2.3,,,,1.3,,270.0,,83.0,,6.0,-0.2,1021.3,,1027.1,,,9.0,,9.0,,,0.0,0.0,,,-0.8,,,,,
295,남해,2024-01-01 04:00,2.1,,,,1.4,,270.0,,86.0,,6.1,0.0,1021.6,,1027.4,,,9.0,,9.0,,,0.0,0.0,,,-0.8,,,,,
295,남해,2024-01-01 05:00,2.1,,,,1.3,,250.0,,86.0,,6.1,0.0,1021.8,,1027.6,,,9.0,,9.0,,,1.0,0.0,,,-1.1,,,,,
295,남해,2024-01-01 06:00,1.5,,,,1.2,,270.0,,89.0,,6.1,-0.1,1022.3,,1028.1,,,9.0,,9.0,,,3.0,0.0,,,-1.2,,,,,
295,남해,2024-01-01 07:00,1.0,,,,1.3,,290.0,,89.0,,5.8,-0.6,1022.8,,1028.6,,,9.0,,9.0,,,0.0,0.0,,,-1.5,,,,,
295,남해,2024-01-01 08:00,2.0,,,,1.6,,290.0,,90.0,,6.3,0.5,1023.3,,1029.1,,0.0,,,9.0,,,3.0,3.0,,16.0,-0.4,,,,,
295,남해,2024-01-01 09:00,3.5,,,,0.5,,50.0,,82.0,,6.4,0.7,1023.7,,1029.5,,0.4,,,9.0,,,2.0,1.0,,15.0,1.1,,,,,
295,남해,2024-01-01 10:00,4.3,,,,0.4,,0.0,,77.0,,6.4,0.6,1024.2,,1029.9,,0.5,,,9.0,,,5.0,5.0,,15.0,5.0,,,,,
295,남해,2024-01-01 11:00,6.0,,,,1.2,,320.0,,66.0,,6.2,0.1,1024.0,,1029.7,,0.9,,,9.0,,,5.0,0.0,,,13.8,,,,,
295,남해,2024-01-01 12:00,7.5,,,,1.8,,360.0,,60.0,,6.2,0.2,1023.1,,1028.8,,1.0,,,9.0,,,6.0,3.0,,16.0,19.7,,,,,
295,남해,2024-01-01 13:00,8.8,,,,1.5,,20.0,,56.0,,6.3,0.4,1022.1,,1027.7,,0.9,,,9.0,,,5.0,2.0,,19.0,19.8,,,,,
295,남해,2024-01-01 14:00,9.6,,,,1.4,,20.0,,53.0,,6.3,0.4,1021.2,,1026.8,,1.0,,,9.0,,,4.0,0.0,,,18.1,,,,,
295,남해,2024-01-01 15:00,9.3,,,,1.0,,360.0,,52.0,,6.1,0.0,1020.9,,1026.5,,1.0,,,9.0,,,6.0,4.0,,15.0,14.1,,,,,
295,남해,2024-01-01 16:00,9.7,,,,0.5,,50.0,,50.0,,6.0,-0.2,1020.4,,1026.0,,1.0,,,9.0,,,6.0,0.0,,,10.1,,,,,
295,남해,2024-01-01 17:00,7.9,,,,0.6,,140.0,,65.0,,6.9,1.7,1020.3,,1025.9,,0.0,,,9.0,,,8.0,8.0,,17.0,7.7,,,,,
295,남해,2024-01-01 18:00,5.9,,,,2.0,,270.0,,67.0,,6.2,0.2,1020.2,,1025.9,,0.0,,,9.0,,,0.0,0.0,,,3.9,,,,,
295,남해,2024-01-01 19:00,5.6,,,,1.1,,250.0,,69.0,,6.2,0.3,1020.4,,1026.1,,,9.0,,9.0,,,0.0,0.0,,,3.4,,,,,
