지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
100,대관령,2024-01-01 00:00,-2.4,,,9.0,2.3,,20.0,,93.0,,4.8,-3.3,934.2,,1028.7,,,9.0,,9.0,19.3,,9.0,9.0,,,-1.7,,,,,
100,대관령,2024-01-01 01:00,-2.6,,,,1.4,,360.0,,92.0,,4.6,-3.7,934.7,,1029.4,,,9.0,,9.0,19.2,,8.0,8.0,,2.0,-1.7,,,,,
100,대관령,2024-01-01 02:00,-2.8,,,,0.2,,0.0,,91.0,,4.5,-4.0,934.8,,1029.5,,,9.0,,9.0,19.2,,8.0,8.0,,5.0,-1.7,,,,,
100,대관령,2024-01-01 03:00,-2.8,,,,0.0,,0.0,,92.0,,4.6,-3.9,935.1,,1029.9,,,9.0,,9.0,19.2,,2.0,2.0,,2.0,-1.7,,,,,
100,대관령,2024-01-01 04:00,-2.1,,,,2.2,,70.0,,93.0,,4.9,-3.0,935.2,,1029.7,,,9.0,,9.0,19.1,,2.0,2.0,,2.0,-1.7,,,,,
100,대관령,2024-01-01 05:00,-2.3,,,,2.6,,70.0,,93.0,,4.8,-3.2,935.6,,1030.2,,,9.0,,9.0,19.1,,2.0,2.0,,,-1.7,,,,,
100,대관령,2024-01-01 06:00,-2.5,,,,2.3,,90.0,,94.0,,4.8,-3.3,935.9,,1030.6,,,9.0,,9.0,19.0,,2.0,2.0,,,-1.7,,,,,
100,대관령,2024-01-01 07:00,-2.5,,,9.0,2.5,,90.0,,94.0,,4.8,-3.3,936.2,,1031.0,,,9.0,,9.0,18.8,,2.0,2.0,,,-1.7,,,,,
100,대관령,2024-01-01 08:00,-2.6,,,9.0,0.6,,90.0,,95.0,,4.8,-3.2,936.6,,1031.4,,0.0,,0.0,,18.7,,1.0,1.0,,,-1.7,,,,,
100,대관령,2024-01-01 09:00,-2.5,,0.0,,0.8,,90.0,,94.0,,4.8,-3.3,936.9,,1031.7,,0.0,,0.01,,18.7,,8.0,8.0,,5.0,-1.5,,,,,
100,대관령,2024-01-01 10:00,-1.9,,,9.0,0.4,,0.0,,93.0,,5.0,-2.8,937.2,,1032.0,,0.0,,0.05,,18.7,,10.0,10.0,,5.0,-1.5,,,,,
