¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),±‚ø¬ QC«√∑°±◊,∞≠ºˆ∑Æ(mm),∞≠ºˆ∑Æ QC«√∑°±◊,«≥º”(m/s),«≥º” QC«√∑°±◊,«≥«‚(16πÊ¿ß),«≥«‚ QC«√∑°±◊,Ω¿µµ(%),Ω¿µµ QC«√∑°±◊,¡ı±‚æ–(hPa),¿ÃΩΩ¡°ø¬µµ(°∆C),«ˆ¡ˆ±‚æ–(hPa),«ˆ¡ˆ±‚æ– QC«√∑°±◊,«ÿ∏È±‚æ–(hPa),«ÿ∏È±‚æ– QC«√∑°±◊,¿œ¡∂(hr),¿œ¡∂ QC«√∑°±◊,¿œªÁ(MJ/m2),¿œªÁ QC«√∑°±◊,¿˚º≥(cm),3Ω√∞£Ω≈¿˚º≥(cm),¿¸øÓ∑Æ(10∫–¿ß),¡ﬂ«œ√˛øÓ∑Æ(10∫–¿ß),øÓ«¸(øÓ«¸æ‡æÓ),√÷¿˙øÓ∞Ì(100m ),¡ˆ∏Èø¬µµ(°∆C),¡ˆ∏Èø¬µµ QC«√∑°±◊,5cm ¡ˆ¡ﬂø¬µµ(°∆C),10cm ¡ˆ¡ﬂø¬µµ(°∆C),20cm ¡ˆ¡ﬂø¬µµ(°∆C),30cm ¡ˆ¡ﬂø¬µµ(°∆C)
271,∫¿»≠,2024-01-01 00:00,3.0,,,9.0,1.0,,50.0,,84.0,,6.3,0.5,986.6,,1026.7,,,9.0,,9.0,,,1.0,1.0,,,0.1,,,,,
271,∫¿»≠,2024-01-01 01:00,3.1,,,,0.8,,70.0,,80.0,,6.1,0.0,986.7,,1026.8,,,9.0,,9.0,,,6.0,6.0,,8.0,0.1,,,,,
271,∫¿»≠,2024-01-01 02:00,2.8,,,,0.5,,320.0,,84.0,,6.2,0.3,987.1,,1027.2,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-01 03:00,2.5,,,,0.5,,160.0,,88.0,,6.4,0.7,987.6,,1027.8,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-01 04:00,2.4,,,,0.6,,90.0,,88.0,,6.4,0.6,987.8,,1028.0,,,9.0,,9.0,,,1.0,1.0,,9.0,0.1,,,,,
271,∫¿»≠,2024-01-01 05:00,2.3,,,,1.4,,160.0,,91.0,,6.5,0.9,988.3,,1028.6,,,9.0,,9.0,,,6.0,6.0,,9.0,0.1,,,,,
271,∫¿»≠,2024-01-01 06:00,1.9,,,,0.0,,0.0,,93.0,,6.5,0.8,988.8,,1029.2,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-01 07:00,1.7,,,,0.8,,360.0,,95.0,,6.5,0.9,989.3,,1029.7,,,9.0,,9.0,,,7.0,7.0,,7.0,0.1,,,,,
271,∫¿»≠,2024-01-01 08:00,1.6,,,,0.6,,360.0,,95.0,,6.5,0.8,989.9,,1030.4,,0.0,,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-01 09:00,1.9,,,,0.1,,0.0,,95.0,,6.6,1.1,990.0,,1030.4,,0.0,,,9.0,,,8.0,8.0,,8.0,0.1,,,,,
271,∫¿»≠,2024-01-01 10:00,2.8,,,,0.6,,360.0,,90.0,,6.7,1.3,990.2,,1030.5,,0.0,,,9.0,,,8.0,8.0,,10.0,0.3,,,,,
271,∫¿»≠,2024-01-01 11:00,3.7,,,,0.7,,160.0,,83.0,,6.6,1.0,990.3,,1030.4,,0.0,,,9.0,,,8.0,8.0,,11.0,1.2,,,,,
271,∫¿»≠,2024-01-01 12:00,4.3,,,,1.1,,160.0,,71.0,,5.9,-0.5,989.8,,1029.9,,0.0,,,9.0,,,8.0,8.0,,12.0,4.3,,,,,
