지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),전운량(10분위),중하층운량(10분위),시정(10m),지면온도(°C)
강화,2024-01-01 00:00,-1.9,1.2,360.0,100.0,5.3,-1.9,1021.4,1027.5,0.0,0.0,411.0,-0.5
강화,2024-01-01 01:00,-2.5,0.6,270.0,100.0,5.1,-2.5,1021.9,1028.1,0.0,0.0,806.0,-0.6
강화,2024-01-01 02:00,-2.8,0.2,0.0,100.0,5.0,-2.8,1022.2,1028.4,0.0,0.0,647.0,-0.6
강화,2024-01-01 03:00,-2.5,0.6,70.0,100.0,5.1,-2.5,1022.6,1028.8,2.0,0.0,558.0,-0.8
강화,2024-01-01 04:00,-2.1,0.1,0.0,100.0,5.2,-2.1,1022.9,1029.1,9.0,7.0,428.0,-0.6
강화,2024-01-01 05:00,-2.4,0.2,0.0,100.0,5.1,-2.4,1023.0,1029.2,9.0,5.0,302.0,-0.8
강화,2024-01-01 06:00,-1.6,1.0,20.0,100.0,5.4,-1.6,1023.1,1029.3,9.0,3.0,250.0,-0.9
강화,2024-01-01 07:00,-1.5,1.3,360.0,100.0,5.5,-1.5,1023.7,1029.9,9.0,1.0,323.0,-1.0
강화,2024-01-01 08:00,-1.6,1.6,360.0,100.0,5.4,-1.6,1024.0,1030.2,8.0,2.0,266.0,-1.0
강화,2024-01-01 09:00,-1.5,0.3,0.0,100.0,5.5,-1.5,1024.3,1030.5,2.0,0.0,210.0,-0.6
강화,2024-01-01 10:00,0.3,0.5,110.0,100.0,6.2,0.2,1024.7,1030.8,8.0,0.0,285.0,-0.3
강화,2024-01-01 11:00,2.9,1.4,90.0,90.0,6.8,1.4,1024.7,1030.8,3.0,1.0,718.0,-0.1
강화,2024-01-01 12:00,3.9,1.1,110.0,83.0,6.7,1.2,1023.9,1029.9,7.0,3.0,1038.0,-0.1
강화,2024-01-01 13:00,4.9,1.1,110.0,77.0,6.6,1.1,1022.7,1028.7,8.0,8.0,1484.0,0.5
강화,2024-01-01 14:00,5.3,0.7,110.0,74.0,6.6,1.0,1021.9,1027.9,8.0,8.0,1641.0,0.7
강화,2024-01-01 15:00,5.1,1.8,250.0,72.0,6.3,0.4,1021.7,1027.7,9.0,9.0,2614.0,0.4
강화,2024-01-01 16:00,3.9,2.2,250.0,88.0,7.1,2.0,1021.4,1027.4,9.0,9.0,839.0,0.3
강화,2024-01-01 17:00,3.3,0.2,0.0,93.0,7.2,2.2,1021.2,1027.2,9.0,9.0,909.0,0.0
강화,2024-01-01 18:00,2.1,0.1,0.0,95.0,6.7,1.3,1021.0,1027.1,9.0,9.0,866.0,-0.1
강화,2024-01-01 19:00,2.0,0.3,0.0,98.0,6.9,1.7,1020.9,1027.0,9.0,9.0,574.0,-0.1
강화,2024-01-01 20:00,2.0,0.2,0.0,98.0,6.9,1.7,1020.9,1027.0,9.0,9.0,506.0,-0.1
