지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),전운량(10분위),중하층운량(10분위),시정(10m),지면온도(°C)
백령도,2024-01-01 00:00,1.4,2.9,340.0,81.0,5.5,-1.5,1021.8,1026.4,2.0,2.0,426.0,-0.4
백령도,2024-01-01 01:00,1.3,2.1,340.0,79.0,5.3,-1.9,1021.9,1026.5,4.0,0.0,469.0,-0.9
백령도,2024-01-01 02:00,0.6,2.4,320.0,82.0,5.2,-2.1,1022.2,1026.8,0.0,0.0,433.0,-1.8
백령도,2024-01-01 03:00,1.5,1.7,20.0,78.0,5.3,-1.9,1022.0,1026.6,0.0,0.0,495.0,-2.7
백령도,2024-01-01 04:00,0.6,1.4,140.0,84.0,5.4,-1.7,1022.4,1027.0,0.0,0.0,435.0,-4.1
백령도,2024-01-01 05:00,0.7,1.3,140.0,84.0,5.4,-1.7,1022.7,1027.3,0.0,0.0,441.0,-4.6
백령도,2024-01-01 06:00,1.1,1.0,110.0,82.0,5.4,-1.6,1022.8,1027.4,2.0,2.0,507.0,-5.2
백령도,2024-01-01 07:00,0.8,2.1,140.0,84.0,5.4,-1.6,1023.4,1028.0,0.0,0.0,457.0,-4.6
백령도,2024-01-01 08:00,1.4,2.2,110.0,89.0,6.0,-0.2,1023.7,1028.3,9.0,9.0,333.0,-2.0
백령도,2024-01-01 09:00,2.1,2.3,140.0,89.0,6.3,0.4,1023.8,1028.4,7.0,7.0,343.0,-0.3
백령도,2024-01-01 10:00,3.0,2.3,140.0,81.0,6.1,0.0,1023.8,1028.3,9.0,9.0,504.0,0.3
백령도,2024-01-01 11:00,3.3,2.2,160.0,81.0,6.2,0.3,1024.0,1028.5,9.0,9.0,510.0,0.6
백령도,2024-01-01 12:00,3.7,0.8,270.0,78.0,6.2,0.2,1023.3,1027.8,9.0,9.0,568.0,1.5
백령도,2024-01-01 13:00,4.1,2.1,230.0,66.0,5.4,-1.6,1022.5,1027.0,9.0,9.0,833.0,2.4
백령도,2024-01-01 14:00,3.9,3.1,230.0,67.0,5.4,-1.6,1021.7,1026.2,9.0,9.0,943.0,3.2
백령도,2024-01-01 15:00,3.5,3.7,250.0,68.0,5.4,-1.8,1021.4,1025.9,9.0,9.0,1065.0,2.7
백령도,2024-01-01 16:00,3.3,3.1,250.0,68.0,5.3,-2.0,1021.3,1025.8,9.0,9.0,1135.0,2.0
백령도,2024-01-01 17:00,3.2,2.3,250.0,68.0,5.2,-2.1,1021.1,1025.6,9.0,9.0,1230.0,1.6
백령도,2024-01-01 18:00,3.2,3.0,270.0,68.0,5.2,-2.1,1021.2,1025.7,9.0,9.0,1188.0,1.2
백령도,2024-01-01 19:00,2.9,2.4,250.0,69.0,5.2,-2.2,1021.0,1025.5,9.0,9.0,1219.0,1.0
백령도,2024-01-01 20:00,2.7,2.8,270.0,69.0,5.1,-2.4,1021.0,1025.5,9.0,9.0,1262.0,0.8
백령도,2024-01-01 21:00,2.4,1.7,270.0,70.0,5.1,-2.5,1020.7,1025.2,9.0,9.0,1342.0,0.8
백령도,2024-01-01 22:00,2.3,2.5,250.0,71.0,5.1,-2.4,1020.7,1025.2,9.0,9.0,1539.0,0.6
백령도,2024-01-01 23:00,2.2,1.8,250.0,71.0,5.1,-2.5,1020.2,1024.7,9.0,9.0,1572.0,0.5
백령도,2024-01-02 00:00,2.3,2.4,270.0,68.0,4.9,-3.0,1019.9,1024.4,9.0,9.0,1642.0,0.4
백령도,2024-01-02 01:00,2.2,2.5,270.0,71.0,5.1,-2.5,1019.9,1024.4,10.0,10.0,1590.0,0.5
백령도,2024-01-02 02:00,2.1,2.6,270.0,67.0,4.8,-3.4,1019.8,1024.3,9.0,9.0,2218.0,0.3
백령도,2024-01-02 03:00,1.9,1.0,200.0,68.0,4.8,-3.3,1019.6,1024.1,9.0,9.0,2127.0,0.4
백령도,2024-01-02 04:00,2.0,1.7,200.0,71.0,5.0,-2.7,1019.0,1023.5,9.0,9.0,2232.0,0.3
백령도,2024-01-02 05:00,2.7,2.6,290.0,69.0,5.1,-2.4,1018.7,1023.2,9.0,9.0,4154.0,0.5
백령도,2024-01-02 06:00,2.7,2.0,270.0,65.0,4.8,-3.2,1018.2,1022.7,9.0,9.0,4126.0,0.3
백령도,2024-01-02 07:00,2.7,1.2,250.0,66.0,4.9,-3.0,1018.0,1022.5,9.0,9.0,3834.0,0.5
백령도,2024-01-02 08:00,3.0,2.6,250.0,64.0,4.9,-3.1,1018.3,1022.8,9.0,9.0,3682.0,0.6
