ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇØ¸é±â¾Ð(hPa),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),½ÃÁ¤(10m),Áö¸é¿Âµµ(¡ÆC)
¼­±ÍÆ÷,2024-01-01 00:00,8.5,1.2,180.0,66.0,7.3,2.5,1018.2,1024.6,5.0,5.0,1798.0,4.2
¼­±ÍÆ÷,2024-01-01 01:00,8.3,0.6,290.0,68.0,7.4,2.7,1018.4,1024.8,5.0,3.0,1646.0,4.4
¼­±ÍÆ÷,2024-01-01 02:00,8.4,1.2,360.0,67.0,7.4,2.6,1019.0,1025.4,7.0,7.0,1711.0,5.5
¼­±ÍÆ÷,2024-01-01 03:00,7.8,1.4,20.0,71.0,7.5,2.8,1019.1,1025.5,9.0,9.0,1735.0,5.6
¼­±ÍÆ÷,2024-01-01 04:00,7.9,0.7,360.0,70.0,7.4,2.7,1019.4,1025.8,9.0,9.0,1822.0,5.9
¼­±ÍÆ÷,2024-01-01 05:00,7.8,0.9,20.0,67.0,7.1,2.0,1019.6,1026.0,9.0,9.0,1945.0,6.3
¼­±ÍÆ÷,2024-01-01 06:00,7.0,1.3,50.0,65.0,6.5,0.8,1020.2,1026.6,9.0,9.0,1516.0,5.8
¼­±ÍÆ÷,2024-01-01 07:00,6.9,2.4,70.0,62.0,6.2,0.1,1020.8,1027.2,8.0,8.0,1647.0,5.0
¼­±ÍÆ÷,2024-01-01 08:00,6.7,1.3,360.0,65.0,6.3,0.5,1021.2,1027.6,1.0,1.0,1912.0,4.0
¼­±ÍÆ÷,2024-01-01 09:00,7.7,1.0,360.0,64.0,6.7,1.3,1021.8,1028.2,2.0,2.0,2084.0,5.7
¼­±ÍÆ÷,2024-01-01 10:00,9.8,0.6,50.0,54.0,6.5,0.9,1022.2,1028.6,8.0,8.0,2338.0,10.5
¼­±ÍÆ÷,2024-01-01 11:00,10.9,0.7,70.0,47.0,6.1,0.0,1022.1,1028.5,4.0,4.0,3111.0,16.4
¼­±ÍÆ÷,2024-01-01 12:00,10.9,0.8,230.0,52.0,6.8,1.4,1021.6,1028.0,8.0,8.0,3737.0,13.4
¼­±ÍÆ÷,2024-01-01 13:00,11.9,1.5,200.0,51.0,7.1,2.0,1020.5,1026.8,9.0,9.0,4070.0,17.1
¼­±ÍÆ÷,2024-01-01 14:00,11.7,1.6,200.0,53.0,7.3,2.4,1019.9,1026.2,9.0,9.0,3453.0,15.2
¼­±ÍÆ÷,2024-01-01 15:00,11.7,1.2,230.0,56.0,7.6,3.1,1019.4,1025.7,9.0,9.0,3136.0,14.8
¼­±ÍÆ÷,2024-01-01 16:00,11.2,0.8,230.0,57.0,7.5,2.9,1019.1,1025.4,10.0,10.0,3083.0,11.8
¼­±ÍÆ÷,2024-01-01 17:00,11.1,0.5,180.0,59.0,7.7,3.3,1018.9,1025.2,8.0,8.0,3060.0,11.5
¼­±ÍÆ÷,2024-01-01 18:00,10.9,0.1,0.0,60.0,7.8,3.4,1019.2,1025.5,8.0,8.0,2893.0,10.1
¼­±ÍÆ÷,2024-01-01 19:00,10.5,0.8,20.0,66.0,8.4,4.4,1019.5,1025.8,9.0,9.0,1970.0,9.0
¼­±ÍÆ÷,2024-01-01 20:00,9.9,1.0,20.0,67.0,8.1,4.0,1019.6,1026.0,7.0,4.0,2438.0,8.5
¼­±ÍÆ÷,2024-01-01 21:00,10.0,1.3,360.0,67.0,8.2,4.1,1019.4,1025.8,8.0,8.0,3129.0,8.3
¼­±ÍÆ÷,2024-01-01 22:00,10.1,0.5,360.0,67.0,8.2,4.2,1019.5,1025.9,1.0,1.0,4048.0,7.9
¼­±ÍÆ÷,2024-01-01 23:00,9.0,0.4,0.0,72.0,8.2,4.2,1019.4,1025.8,0.0,0.0,2430.0,6.2
¼­±ÍÆ÷,2024-01-02 00:00,8.3,0.8,360.0,73.0,8.0,3.7,1018.9,1025.3,7.0,7.0,2578.0,5.7
¼­±ÍÆ÷,2024-01-02 01:00,7.8,1.4,20.0,74.0,7.8,3.4,1018.2,1024.6,0.0,0.0,2699.0,5.0
¼­±ÍÆ÷,2024-01-02 02:00,7.4,1.0,360.0,75.0,7.7,3.2,1018.3,1024.7,1.0,0.0,2566.0,4.4
¼­±ÍÆ÷,2024-01-02 03:00,7.2,0.8,360.0,76.0,7.7,3.2,1018.0,1024.4,8.0,8.0,2707.0,5.0
¼­±ÍÆ÷,2024-01-02 04:00,8.1,0.5,340.0,65.0,7.0,1.9,1017.7,1024.1,1.0,1.0,3322.0,4.5
¼­±ÍÆ÷,2024-01-02 05:00,8.2,0.3,0.0,61.0,6.6,1.1,1017.5,1023.9,0.0,0.0,3075.0,3.6
¼­±ÍÆ÷,2024-01-02 06:00,6.6,1.2,360.0,69.0,6.7,1.3,1017.6,1024.0,0.0,0.0,2689.0,3.2
¼­±ÍÆ÷,2024-01-02 07:00,6.5,1.2,360.0,65.0,6.2,0.3,1017.5,1023.9,0.0,0.0,2929.0,2.8
¼­±ÍÆ÷,2024-01-02 08:00,6.7,1.7,360.0,67.0,6.5,0.9,1017.4,1023.8,0.0,0.0,2319.0,3.0
¼­±ÍÆ÷,2024-01-02 09:00,8.1,0.8,360.0,64.0,6.9,1.6,1017.4,1023.8,0.0,0.0,1985.0,4.5
¼­±ÍÆ÷,2024-01-02 10:00,10.8,0.9,200.0,58.0,7.5,2.8,1017.8,1024.1,0.0,0.0,2596.0,11.9
