지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),전운량(10분위),중하층운량(10분위),시정(10m),지면온도(°C)
수원,2024-01-01 00:00,-1.2,0.0,0.0,97.0,5.4,-1.6,1022.0,1027.1,0.0,0.0,343.0,-1.1
수원,2024-01-01 01:00,-1.4,0.8,290.0,98.0,5.4,-1.6,1022.3,1027.4,2.0,2.0,439.0,-1.2
수원,2024-01-01 02:00,-1.2,1.0,320.0,98.0,5.5,-1.4,1022.9,1028.0,0.0,0.0,390.0,-0.8
수원,2024-01-01 03:00,-1.7,0.7,290.0,97.0,5.2,-2.1,1023.2,1028.3,0.0,0.0,421.0,-1.7
수원,2024-01-01 04:00,-1.9,1.3,320.0,98.0,5.2,-2.1,1023.6,1028.7,0.0,0.0,396.0,-1.3
수원,2024-01-01 05:00,-1.6,0.0,0.0,98.0,5.4,-1.8,1023.7,1028.8,8.0,8.0,246.0,-1.0
수원,2024-01-01 06:00,-1.6,0.3,0.0,98.0,5.4,-1.8,1023.9,1029.0,8.0,8.0,372.0,-1.5
수원,2024-01-01 07:00,-1.7,0.9,230.0,98.0,5.3,-1.9,1024.2,1029.3,2.0,2.0,361.0,-2.0
수원,2024-01-01 08:00,-2.2,0.5,290.0,97.0,5.0,-2.6,1024.6,1029.7,2.0,2.0,391.0,-2.0
수원,2024-01-01 09:00,-1.1,0.3,0.0,99.0,5.6,-1.2,1024.9,1030.0,0.0,0.0,435.0,-0.6
수원,2024-01-01 10:00,2.7,0.6,160.0,96.0,7.1,2.1,1025.1,1030.1,0.0,0.0,944.0,-0.1
수원,2024-01-01 11:00,5.0,1.2,140.0,75.0,6.5,0.9,1024.9,1029.9,0.0,0.0,1425.0,3.3
수원,2024-01-01 12:00,5.3,2.2,160.0,72.0,6.4,0.6,1024.3,1029.3,9.0,9.0,1855.0,3.3
수원,2024-01-01 13:00,6.4,1.7,160.0,70.0,6.7,1.3,1023.3,1028.3,8.0,8.0,1658.0,10.5
