瘤痢疙,老矫,扁柯(∑C),浅加(m/s),浅氢(16规困),嚼档(%),刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),傈款樊(10盒困),吝窍摸款樊(10盒困),矫沥(10m),瘤搁柯档(∑C)
颇林,2024-01-01 00:00,-2.6,0.0,0.0,99.0,5.0,-2.7,1023.8,1027.7,0.0,0.0,484.0,0.0
颇林,2024-01-01 01:00,-3.5,0.2,0.0,98.0,4.6,-3.7,1024.4,1028.4,0.0,0.0,460.0,0.0
颇林,2024-01-01 02:00,-3.4,0.8,140.0,98.0,4.7,-3.6,1024.7,1028.7,0.0,0.0,494.0,0.0
颇林,2024-01-01 03:00,-3.3,0.6,340.0,99.0,4.8,-3.4,1025.5,1029.5,0.0,0.0,594.0,0.0
颇林,2024-01-01 04:00,-3.0,0.1,0.0,98.0,4.8,-3.2,1025.6,1029.6,0.0,0.0,411.0,0.0
颇林,2024-01-01 05:00,-2.5,0.7,180.0,98.0,5.0,-2.7,1025.6,1029.6,0.0,0.0,502.0,0.0
颇林,2024-01-01 06:00,-2.0,0.4,0.0,98.0,5.2,-2.2,1025.6,1029.5,0.0,0.0,371.0,0.0
颇林,2024-01-01 07:00,-1.8,0.1,0.0,98.0,5.3,-2.0,1026.2,1030.1,8.0,8.0,491.0,0.0
颇林,2024-01-01 08:00,-1.5,0.3,0.0,99.0,5.4,-1.6,1026.7,1030.6,0.0,0.0,420.0,0.0
颇林,2024-01-01 09:00,-1.2,0.6,340.0,98.0,5.5,-1.4,1027.0,1030.9,9.0,9.0,569.0,0.0
颇林,2024-01-01 10:00,0.1,0.3,0.0,97.0,6.0,-0.3,1027.4,1031.3,8.0,8.0,771.0,0.0
颇林,2024-01-01 11:00,1.7,1.3,90.0,91.0,6.2,0.3,1027.0,1030.9,8.0,8.0,1156.0,0.1
颇林,2024-01-01 12:00,3.0,1.1,20.0,85.0,6.4,0.7,1026.5,1030.4,9.0,9.0,1641.0,0.2
颇林,2024-01-01 13:00,4.3,0.5,110.0,76.0,6.3,0.4,1025.1,1028.9,7.0,7.0,2807.0,0.5
颇林,2024-01-01 14:00,4.9,1.0,340.0,74.0,6.4,0.6,1024.4,1028.2,9.0,9.0,2684.0,0.8
颇林,2024-01-01 15:00,5.0,0.8,340.0,75.0,6.5,0.9,1023.9,1027.7,8.0,8.0,2113.0,0.6
颇林,2024-01-01 16:00,4.5,1.5,270.0,79.0,6.6,1.1,1023.6,1027.4,9.0,9.0,1311.0,0.3
颇林,2024-01-01 17:00,4.1,0.9,270.0,81.0,6.6,1.1,1023.5,1027.3,9.0,9.0,1207.0,0.1
